parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	FROST_DCMASE_moyenne	FROST_DCMASE_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
1	0.4015	0.2209	0.3963	0.2225	0.3981	0.2187	0.4393	0.195	0.4293	0.1921	0.5255	0.1449	0.4095	0.2101	0.4616	0.2304	0.4108	0.2097	0.4085	0.21	0.4108	0.2097
2	0.3375	0.2231	0.3407	0.2253	0.3307	0.2323	0.4309	0.1583	0.4244	0.1751	0.5285	0.1546	0.3492	0.2276	0.3419	0.2688	0.4763	0.1678	0.5005	0.1385	0.3524	0.2015
3	0.2818	0.2279	0.2869	0.232	0.2621	0.2285	0.3778	0.1778	0.3793	0.1829	0.5168	0.1779	0.3007	0.2169	0.328	0.2856	0.4803	0.1961	0.4902	0.1233	0.3048	0.2112
5	0.1817	0.2072	0.1705	0.2012	0.1505	0.1928	0.2838	0.1925	0.2951	0.2013	0.5435	0.1532	0.1954	0.1939	0.2899	0.2782	0.5444	0.1265	0.4877	0.0959	0.3022	0.2375
7	0.0945	0.1646	0.0917	0.1595	0.0699	0.141	0.2047	0.1744	0.2177	0.1806	0.5663	0.0834	0.1143	0.1507	0.2844	0.2604	0.5668	0.083	0.4875	0.0526	0.3614	0.2266
10	0.0141	0.0466	0.021	0.0641	0.0191	0.0693	0.1233	0.1274	0.1229	0.1262	0.5603	0.0734	0.0545	0.0914	0.2366	0.2416	0.5508	0.0732	0.4703	0.0637	0.4041	0.1882
15	0.0048	0.027	0.0071	0.0361	0.0012	0.0038	0.0678	0.094	0.0646	0.0822	0.5565	0.0655	0.0193	0.0369	0.2421	0.2369	0.5647	0.0754	0.4552	0.073	0.4319	0.1289
20	1e-04	0.0013	0	0	0.0067	0.0469	0.0303	0.048	0.0309	0.0547	0.5402	0.0789	0.0118	0.0478	0.1967	0.2326	0.5494	0.0804	0.4421	0.0794	0.4229	0.1275
30	0	0	0	0	0.0033	0.0333	0.0087	0.0192	0.0072	0.0168	0.5407	0.0756	0.0043	0.0335	0.1947	0.2244	0.5531	0.0775	0.4333	0.0821	0.4154	0.0929
40	0	0	0	0	0.0067	0.0469	0.0013	0.0054	0.0016	0.0075	0.5277	0.0809	0.0067	0.0469	0.1779	0.2257	0.5591	0.0694	0.4217	0.0835	0.4235	0.0833
50	0	0	0	0	0	0	1e-04	7e-04	3e-04	0.0013	0.5158	0.0819	0	0	0.1615	0.2174	0.5646	0.0799	0.4017	0.0824	0.4033	0.0827
